SEX,AGE,MARST,RACE,BPL,HIGRADE,CLASSWKRD,OCCSCORE
1,22,6,1,1,13,22,26
1,62,1,5,6,15,13,17
2,24,6,2,35,13,22,17
2,17,6,1,6,14,22,23
1,34,3,1,4,17,22,22
2,17,6,1,4,14,22,18
1,16,6,1,6,13,22,20
1,44,1,1,1,19,22,41
1,57,1,1,46,20,28,27
1,29,1,1,1,17,13,14
2,20,4,1,200,15,22,18
1,62,1,1,29,13,13,41
2,23,1,1,6,16,22,26
2,23,3,2,5,15,22,13
2,34,1,1,6,14,25,22
1,23,6,1,6,20,22,24
1,37,1,3,30,14,25,11
2,50,4,1,1,14,22,22
1,28,1,1,200,9,22,30
1,31,6,1,6,20,22,30
1,49,1,1,42,15,25,23
1,36,1,1,5,17,22,31
2,19,1,1,4,15,22,22
1,22,6,1,31,15,22,26
1,32,6,2,6,17,22,25
1,59,1,1,6,16,22,31
2,17,6,1,6,14,22,24
2,16,6,3,6,4,28,30
1,25,6,1,6,19,22,26
1,58,1,1,42,17,22,45
1,38,1,1,1,13,22,19
1,27,6,1,34,15,22,20
1,51,3,1,55,19,22,31
2,25,1,1,6,14,27,22
2,20,6,1,6,15,22,22
2,85,5,1,1,11,22,6
2,42,1,1,5,13,22,22
1,62,1,1,6,15,22,20
2,40,6,1,41,14,22,31
2,22,1,1,5,15,22,24
1,55,1,1,1,12,22,32
1,35,1,1,6,19,22,26
1,21,6,1,6,15,22,25
2,55,1,1,46,15,22,30
1,56,1,1,210,15,22,26
2,34,1,1,35,15,22,25
1,37,1,1,6,17,13,26
1,39,4,1,25,19,22,26
1,39,3,1,40,5,22,26
2,25,1,1,47,15,22,25
2,61,1,1,5,15,22,24
1,19,6,1,51,15,22,37
1,19,6,3,2,15,25,20
1,30,1,1,6,16,25,48
1,25,1,1,6,19,22,24
1,22,1,2,1,14,13,24
2,20,6,1,6,17,22,15
2,17,6,1,6,14,22,24
2,18,6,1,12,15,22,20
1,63,1,1,4,15,22,37
1,55,1,1,6,17,27,48
1,47,1,1,6,13,22,23
2,35,1,1,40,15,13,41
2,21,6,1,26,17,22,21
2,23,1,1,6,17,22,26
2,26,1,1,19,15,13,13
1,43,1,2,48,15,25,31
1,41,4,1,5,4,28,32
1,37,1,1,9,13,22,25
1,37,1,1,21,15,22,29
2,37,1,1,5,15,22,24
1,32,4,1,32,15,25,11
1,37,1,1,1,11,22,27
1,19,6,1,5,15,22,16
1,47,1,1,40,15,27,48
1,26,1,2,5,15,22,25
2,63,5,1,6,14,22,24
1,43,1,1,6,14,22,20
2,24,1,1,5,15,22,17
2,27,6,1,6,15,27,22
1,22,6,1,200,11,22,9
1,63,1,1,40,13,22,38
1,41,4,2,28,15,22,26
2,48,1,1,25,19,22,24
1,28,1,1,42,16,22,41
2,46,1,1,40,18,22,35
2,17,1,1,6,15,22,14
2,34,3,1,200,11,22,35
1,22,6,2,6,15,22,5
1,42,1,1,6,15,22,25
1,74,4,1,20,15,13,20
2,51,1,1,4,15,22,24
1,21,6,1,6,15,22,20
1,20,1,1,6,15,22,23
2,51,1,1,6,15,22,24
1,28,1,1,18,15,22,32
